id,strict_correct,contains_correct,latency_s,input_tokens,output_tokens,total_tokens,est_cost_usd,finish_reason,error
1,True,True,3.81,289,141,430,0.00035425,stop,
2,True,True,11.36,1723,663,2386,0.00175675,stop,
3,False,False,6.45,300,330,630,0.000735,stop,
4,False,False,18.64,384,797,1181,0.00169,stop,
5,True,True,6.28,545,332,877,0.00080025,stop,
6,True,True,10.85,339,657,996,0.00139875,stop,
7,True,True,10.67,1785,470,2255,0.00138625,stop,
8,False,False,7.86,561,395,956,0.00093025,stop,
9,False,False,5.63,390,213,603,0.0005235,stop,
10,False,False,28.06,881,911,1792,0.00204225,stop,
11,False,False,6.28,618,348,966,0.0008505,stop,
12,True,True,18.81,1156,594,1750,0.001477,stop,
13,False,False,9.88,2624,458,3082,0.001572,stop,
14,False,False,7.39,1577,522,2099,0.00143825,stop,
15,False,False,10.16,579,556,1135,0.00125675,stop,
16,False,False,11.77,744,729,1473,0.001644,stop,
17,False,False,9.01,1902,539,2441,0.0015535,stop,
18,True,True,15.57,662,1165,1827,0.0024955,stop,
19,False,False,7.21,594,461,1055,0.0010705,stop,
20,True,True,4.12,255,143,398,0.00034975,stop,
21,False,False,11.78,1925,788,2713,0.00205725,stop,
22,True,True,9.63,1281,529,1810,0.00137825,stop,
23,True,True,4.89,2422,290,2712,0.0011855,stop,
24,False,False,6.16,2522,464,2986,0.0015585,stop,
25,False,False,8.44,1397,743,2140,0.00183525,stop,
26,False,False,12.49,1109,732,1841,0.00174125,stop,
27,False,False,15.36,386,1167,1553,0.0024305,stop,
28,False,False,6.29,246,468,714,0.0009975,stop,
29,False,False,6.51,1327,413,1740,0.00115775,stop,
30,False,False,5.91,1290,406,1696,0.0011345,stop,
31,False,False,8.96,939,729,1668,0.00169275,stop,
32,True,True,5.54,1015,275,1290,0.00080375,stop,
33,True,True,7.52,663,466,1129,0.00109775,stop,
34,False,False,12.24,771,978,1749,0.00214875,stop,
35,False,False,5.73,217,402,619,0.00085825,stop,
36,False,False,14.85,249,714,963,0.00149025,stop,
37,False,False,7.04,980,460,1440,0.001165,stop,
38,True,True,2.12,131,81,212,0.00019475,stop,
39,False,False,9.63,470,602,1072,0.0013215,stop,
40,False,False,7.1,755,493,1248,0.00117475,stop,
41,False,False,8.2,1285,602,1887,0.00152525,stop,
42,False,False,6.99,736,594,1330,0.001372,stop,
43,False,False,17.09,1075,1099,2174,0.00246675,stop,
44,False,False,6.73,296,335,631,0.000744,stop,
45,False,False,5.43,776,418,1194,0.00103,stop,
46,False,False,4.4,1327,267,1594,0.00086575,stop,
