id,exact_correct,strict_correct,contains_correct,latency_s,finish_reason,error
1,False,False,True,141.25,stop,
2,False,False,True,374.5,stop,
3,False,False,False,61.89,stop,
4,False,False,False,96.09,stop,
5,False,False,True,121.14,stop,
6,False,False,True,70.58,stop,
7,False,False,True,428.45,stop,
8,False,False,False,141.48,stop,
9,False,True,True,80.39,stop,
10,False,False,False,197.13,stop,
11,False,False,False,147.45,stop,
12,False,False,True,326.82,stop,
13,False,False,False,800.83,stop,
14,False,False,False,429.53,stop,
15,False,False,False,125.44,stop,
16,False,False,False,161.22,stop,
17,False,False,False,502.32,stop,
18,False,False,False,146.67,stop,
19,False,False,False,122.24,stop,
20,False,False,True,54.67,stop,
21,False,False,False,521.96,stop,
22,False,False,False,294.9,stop,
23,False,False,True,682.75,stop,
24,False,False,True,748.63,stop,
25,False,False,True,333.12,stop,
26,False,False,False,258.2,stop,
27,False,False,False,82.78,stop,
28,False,False,False,57.75,stop,
29,False,False,False,375.91,stop,
30,False,False,False,328.68,stop,
31,False,False,False,210.89,stop,
32,False,False,True,261.02,stop,
33,False,False,False,150.86,stop,
34,False,False,False,172.07,stop,
35,False,False,True,73.9,stop,
36,False,False,False,54.99,stop,
37,False,False,True,221.8,stop,
38,False,True,True,27.15,stop,
39,False,False,False,119.97,stop,
40,False,False,False,170.04,stop,
41,False,False,False,289.59,stop,
42,False,False,False,171.54,stop,
43,False,False,False,270.46,stop,
44,False,False,False,64.92,stop,
45,False,False,False,189.44,stop,
46,False,False,True,334.01,stop,
47,False,False,False,53.44,stop,
48,False,False,True,483.03,stop,
49,False,False,False,234.95,stop,
50,False,False,False,305.16,stop,
51,False,False,False,202.65,stop,
52,False,False,True,131.46,stop,
53,False,False,False,380.11,stop,
54,False,False,True,76.33,stop,
55,False,False,False,216.59,stop,
56,False,False,False,77.72,stop,
57,False,False,False,287.36,stop,
58,False,False,True,292.75,stop,
59,False,False,False,113.2,stop,
60,False,False,False,261.51,stop,
61,False,False,False,104.95,stop,
62,False,False,False,71.88,stop,
63,False,False,True,79.56,stop,
64,False,False,False,269.82,stop,
65,False,False,True,250.8,stop,
66,False,False,False,67.32,stop,
67,False,False,False,219.19,stop,
68,False,False,False,65.6,stop,
69,False,False,False,39.42,stop,
70,False,False,False,80.38,stop,
71,False,False,False,478.22,stop,
72,False,False,True,282.54,stop,
73,False,False,True,64.38,stop,
74,False,False,True,163.84,stop,
75,False,False,False,101.58,stop,
76,False,False,False,75.16,stop,
